id,nome,profissao,nascimento,sexo,peso,altura,nacionalidade
2,"Talita Nascimento",Farmacêutico,1999-12-30,F,55.20,1.65,Portugal
5,"Leila Martins",Farmacêutico,1975-04-22,F,99.00,2.15,Brasil
6,"Letícia Neves",Programador,1999-12-03,F,87.00,2.00,Brasil
7,"Janaína Couto","Auxiliar Administrat",1987-11-12,F,75.40,1.66,EUA
11,"Andreia Delfino","Auxiliar Administrat",1975-07-01,F,48.64,1.54,Irlanda
14,"Rosana Kunz",Professor,1935-01-16,F,55.24,1.87,Brasil
15,"Josiane Dutra",Empreendedor,1950-01-20,F,98.70,1.04,Portugal
19,"Nara Matos",Programador,1978-03-17,F,65.90,1.33,Brasil
21,"Ana Carolina Mendes",Ator,2000-12-15,F,88.30,1.54,Brasil
27,"Monique Precivalli","Auxiliar Administrat",2013-12-30,F,48.20,1.22,Brasil
31,"Karine Ribeiro",Empreendedor,1988-10-01,F,42.10,1.65,Brasil
33,"Jarismar Andrade",Dentista,2000-06-23,F,63.70,1.33,Brasil
34,"Janaina Oliveira",Professor,1955-03-12,F,52.90,1.76,Canadá
37,"Daniele Moledo",Empreendedor,2006-08-11,F,101.30,1.99,Brasil
43,"Ana Carolina Hernandes",Ator,1970-10-11,F,65.40,2.08,EUA
45,"Bruna Teles",Programador,1980-11-07,F,55.10,1.86,Brasil
48,"Elaine Nunes",Programador,1998-08-15,F,35.90,2.00,Canadá
51,"Jucinei Teixeira",Professor,1977-11-22,F,44.80,1.76,Portugal
52,"Bruna Santos","Auxiliar Administrat",1991-12-01,F,76.30,1.45,Canadá
57,"Rita Pontes",Professor,1999-09-02,F,54.10,1.35,Angola
60,"Dayana Dias",Professor,1993-05-30,F,88.30,1.66,Angola
61,"Silvana Albuquerque",Programador,1999-05-22,F,56.00,1.50,Brasil
